,R,S
0,63.078313050504,199.73
1,89.20620580763855,223.83
2,109.25484305920791,237.74
3,126.156626101008,245.9
4,141.04739588693909,252.18
5,154.50968080927584,257.71
6,166.88952945311362,261.15
7,178.4124116152771,265.0
8,189.234939151512,268.58
9,199.47114020071635,270.62
10,209.20709679710012,272.1
11,218.50968611841583,274.99
12,227.4320920733615,276.4
13,236.0174359706574,277.93
14,244.30125595145995,279.53
15,252.313252202016,280.55
16,260.07854739300495,282.46
17,267.6186174229157,283.69
18,274.9519921161698,284.53
19,282.09479177387817,286.02
20,289.06114426405543,286.39
21,295.8635136351599,287.07
22,302.5129621649952,288.94
23,309.01936161855167,289.63
24,315.39156525252,289.99
25,321.6375491290343,290.8
26,327.76452917762373,291.88
27,333.77905890622725,292.51
28,339.6871115329873,293.23
29,345.4941494713355,293.75
30,351.20518347003207,294.35
31,356.8248232305542,295.19
32,362.35732095655754,295.62
33,367.80660900548133,295.84
34,373.1763325901154,296.32
35,378.469878303024,297.03
36,383.69039909802694,297.68
37,388.8408362521876,298.05
38,393.92393874274507,298.71
39,398.9422804014327,299.0
