rho,lambd,S,Nsum,Nmean,Nsd
15473477.867124092,5748282.336568311,284.0,87975.0,309.7711267605634,1096278.5919832375
14231105.871678233,5402263.905307135,279.0,88707.0,317.9462365591398,1101472.9612671984
5980648.430751824,2133138.86596784,282.0,88569.0,314.0744680851064,1096875.9980006036
27823599.878303625,10918385.51507724,284.0,86713.0,305.3274647887324,1013472.4878372344
55518096.12470797,22564672.677911196,282.0,88882.0,315.1843971631206,1090267.9801820833
4597480.680298709,1644653.5069053278,287.0,88281.0,307.5993031358885,1022240.0171423714
1640327.0028188848,531646.1217039553,281.0,89913.0,319.97508896797154,1162311.4406605794
10106371.24998847,3762546.267937123,284.0,88411.0,311.306338028169,1070271.768833069
36647016.3600219,14727911.848248804,278.0,88777.0,319.341726618705,1086050.2321437816
4544058.996398538,1606603.3544970052,283.0,89666.0,316.8409893992933,1105559.7450336502
9232605.76633387,3332857.8912261464,285.0,88549.0,310.6982456140351,1108673.8598214833
8398216.655260043,3009648.477517591,286.0,88631.0,309.8986013986014,1094623.356851191
7924341.191313125,2918488.050605824,285.0,88274.0,309.73333333333335,1040860.763976608
4956879.430818653,1775959.6073221157,282.0,89550.0,317.5531914893617,1102865.3961068357
9639831.133910649,3637581.5210328116,277.0,88577.0,319.7725631768953,1093803.7208356683
11719924.633190857,4543735.35504653,276.0,88254.0,319.7608695652174,1046726.029773157
9726206.285138793,3657924.0725805527,275.0,89754.0,326.3781818181818,1138745.209705785
24363776.628622167,9518825.735534007,287.0,88665.0,308.93728222996515,1022603.8009445299
6487879.035088129,2389575.985567381,281.0,88043.0,313.3202846975089,1051907.6910120184
15804300.952315908,6083570.327568304,281.0,87759.0,312.30960854092524,1059503.2030749356
13984279.068869399,5324983.980557911,281.0,88292.0,314.20640569395016,1072847.2171831664
7589542.444661691,2765647.5354724005,280.0,89118.0,318.2785714285714,1125178.9652551021
18878514.024022155,7357144.366558616,281.0,88483.0,314.88612099644126,1069829.3393447397
15967589.528985567,6157758.503328098,278.0,88129.0,317.01079136690646,1079492.9099554885
31059124.861015655,12307881.70419737,281.0,86988.0,309.56583629893237,1040954.7082990336
13350743.926709156,5110438.272909226,280.0,89348.0,319.1,1087753.9185714286
10568956.557649713,3879318.1505788476,289.0,89640.0,310.1730103806228,1088582.1153961278
42296448.44412218,17001548.46694483,281.0,88167.0,313.7615658362989,1076264.800800395
12796176.319074873,4886550.326820591,280.0,87784.0,313.51428571428573,1054342.3426530613
