,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,Ss,r,xi,xip
0,15473477.867124092,5748282.336568311,284.0,87975.0,721.0817796623816,5741886.903896156,305.01048036878313,0.001548855633802817,0.001442163559324763,272.3339200777023,0.090566785400632,0.9998744172792444,0.9996861023282966
1,14231105.871678231,5402263.905307135,279.0,88707.0,741.0746141523991,5770461.9081202345,299.25124375451134,0.001589731182795699,0.0014821492283047981,267.62455242939944,0.09518512239827043,0.9998715744725548,0.9996789980186603
2,5980648.430751824,2133138.86596784,282.0,88569.0,731.6199089279257,5748489.5827728715,302.6469035328193,0.001570372340425532,0.0014632398178558515,269.6093469005001,0.09312634501975406,0.999872728323085,0.9996818815389176
3,27823599.878303625,10918385.51507724,284.0,86713.0,711.2383399875672,5341825.123373699,304.7958578889174,0.001526637323943662,0.0014224766799751341,272.8961118585868,0.09471057669931661,0.9998668548064452,0.9996672034814985
4,55518096.12470797,22564672.6779112,282.0,88882.0,734.5083488074296,5688060.481735261,302.52208890583603,0.001575921985815603,0.0014690166976148592,271.48913750261477,0.09486048751071956,0.9998708684003684,0.9996772335199489
5,4597480.680298709,1644653.5069053278,287.0,88281.0,716.884756343031,5320513.536104569,307.86329050410626,0.0015379965156794423,0.001433769512686062,274.19021470260503,0.09660590198438511,0.9998652602325925,0.9996632186482427
6,1640327.0028188848,531646.1217039553,281.0,89913.0,745.314335386388,6055366.225331318,301.5942258556823,0.0015998754448398578,0.001490628670772776,267.0100347997714,0.09174702540395376,0.9998769167202028,0.9996923486006221
7,10106371.24998847,3762546.267937123,284.0,88411.0,725.4091871341234,5529922.762473497,304.6935494065276,0.0015565316901408452,0.0014508183742682466,272.09192093250715,0.0951708638986857,0.999868821099626,0.9996721172660097
8,36647016.3600219,14727911.848248804,278.0,88777.0,744.5774897770804,5745178.219000274,298.07844455040873,0.0015967086330935252,0.0014891549795541608,267.4184539663345,0.0965100605004047,0.9998703995835474,0.999676061932631
9,4544058.996398538,1606603.3544970052,283.0,89666.0,738.3802671342277,5761978.96651113,303.5901824273017,0.0015842049469964664,0.0014767605342684554,270.32597677367335,0.09463333647183386,0.9998718530089357,0.9996796940916967
10,9232605.76633387,3332857.8912261464,285.0,88549.0,723.2834257316284,5769857.646599539,306.06604841811964,0.0015534912280701755,0.001446566851463257,272.82865810472737,0.09067892702888665,0.999874644493845,0.9996866701510452
11,8398216.655260043,3009648.477517591,286.0,88631.0,721.3547910917877,5757579.043660286,307.1685427702465,0.001549493006993007,0.0014427095821835751,273.68119010522514,0.09038832688832513,0.9998747121341067,0.9996868391881415
12,7924341.191313125,2918488.050605824,285.0,88274.0,721.7950419100049,5439250.71353183,305.74468815416935,0.0015486666666666667,0.0014435900838200095,272.83097790518667,0.09579577314641272,0.999867298810089,0.9996683130481022
13,4956879.430818653,1775959.6073221157,282.0,89550.0,740.2789188243084,5708134.764552753,302.41979652149547,0.0015877659574468086,0.0014805578376486169,269.5141082464294,0.09601804799634739,0.9998703115905004,0.9996758420355474
14,9639831.133910649,3637581.521032812,277.0,88577.0,745.853079605944,5669441.635627102,296.89828473590876,0.0015988628158844765,0.001491706159211888,265.457683341293,0.09813488634729176,0.9998684432916781,0.9996711731182686
15,11719924.633190855,4543735.35504653,276.0,88254.0,746.3016478873692,5508584.29898918,295.6378303928091,0.0015988043478260868,0.0014926032957747382,264.7523388569703,0.1011224640064319,0.9998645202456057,0.9996613694303939
16,9726206.285138791,3657924.0725805527,275.0,89754.0,761.333488493154,5950498.083548012,294.72629720269776,0.001631890909090909,0.001522666976986308,263.5517696540399,0.09742089525143396,0.9998720555022783,0.9996802001306463
17,24363776.628622167,9518825.735534009,287.0,88665.0,719.8198264670082,5445643.968680432,307.9416429635667,0.0015446864111498257,0.0014396396529340163,275.70299137682053,0.09516029395635398,0.9998678173177301,0.9996696088023173
18,6487879.035088129,2389575.985567381,281.0,88043.0,730.6015877511495,5446970.920569016,301.2688497947405,0.0015666014234875444,0.001461203175502299,268.8851561698054,0.09800865344927444,0.9998658701141597,0.999664742737427
