,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,alpha0,beta0,Sdown
0,1184361.341857554,420256.01211184775,243.0,23068.0,94.93004115226336,83077.85107283776,325.8333466639145,0.0018986008230452674,0.001415938560996571,0.11366908633497745,6228.336158275553,239.79571945618716
1,917184.9630296988,321851.1825315748,247.0,21816.0,88.32388663967612,72866.01655493451,332.91156624823395,0.0017664777327935223,0.001310618327014388,0.11559887441479465,5668.819586908762,243.60109730221598
2,10906596.56677384,4566528.68409192,254.0,21977.0,86.52362204724409,68455.85574121134,333.3285816385933,0.0017304724409448818,0.0013186387973071116,0.11786196163096384,5593.996481391874,250.84320269029982
3,2132787.5161518315,818806.2055243449,244.0,21679.0,88.84836065573771,70332.85815305014,323.73918123910045,0.001776967213114754,0.0013392879982598574,0.12142423622914804,5514.912178374319,240.8122726067344
4,124258.87818682716,34248.64166211299,249.0,22272.0,89.44578313253012,82856.91372719815,353.25297243721985,0.0017889156626506024,0.00126096603498266,0.10720115215167568,5881.308221382534,244.9743023828699
5,1576811.7670355183,558945.0096614752,254.0,22103.0,87.01968503937007,72968.87756525484,341.92382163222413,0.0017403937007874014,0.0012928610761594817,0.10897341523101223,5932.002192547383,250.57046243776017
6,3336589.8358818344,1287892.9631642308,245.0,22491.0,91.8,80479.31102040815,324.4776551895413,0.001836,0.001386289603631538,0.11586131587555819,5982.538663381374,241.89074618488723
7,59330508.95633261,25325586.70658959,244.0,21460.0,87.95081967213115,77406.30905670524,319.774762912453,0.0017590163934426228,0.0013421947250962549,0.10352522289962958,6482.452717815193,241.1020049027364
8,52965919.42102863,23115770.76224152,248.0,22071.0,88.99596774193549,74017.57659664412,323.7798394068391,0.0017799193548387097,0.001363333803638535,0.10912078432053178,6246.902513245658,245.07048063870297
9,2109793.068411577,784049.1026372935,237.0,22129.0,93.37130801687763,80281.12795314139,315.54879918129427,0.0018674261603375526,0.001402572284059689,0.1144253166360914,6128.767327427684,233.94733861895693
10,43770761.74806829,18421985.224937312,243.0,21900.0,90.12345679012346,81361.7872275568,318.6672609321387,0.0018024691358024692,0.0013744744242593333,0.1036264422635494,6631.871143292182,240.1222319533323
11,58831789.92920755,27595775.4516811,242.0,22303.0,92.16115702479338,71613.07733419849,312.01215810767434,0.0018432231404958677,0.0014296237771800745,0.12404691065937117,5762.432008910627,239.23077550620593
12,822564461.168589,402618575.80441046,239.0,21690.0,90.7531380753138,78258.05202990149,308.0488004581777,0.0018150627615062763,0.0014082184360230772,0.10888609044824732,6466.475333194153,236.3514490911545
13,15308660.228940524,6102080.495089062,244.0,22122.0,90.6639344262295,85419.19033861865,322.11931917029835,0.00181327868852459,0.0013735282973390687,0.10360842223651909,6628.458708711705,241.03115609514964
14,77117924.56660858,34393309.02989665,240.0,22285.0,92.85416666666669,81705.29123263838,311.95012931566197,0.0018570833333333334,0.0014287540158350015,0.10996757765502073,6496.251196498779,237.24351753460908
15,4336129.642564414,1630115.3370155364,241.0,22530.0,93.48547717842324,85603.54439489669,320.36441860831957,0.0018697095435684648,0.0014065232398698673,0.10679029047688117,6585.44533210331,237.97789211427406
16,28427125.97022376,11838809.676084109,251.0,22384.0,89.1792828685259,78373.12722020283,329.6609354264072,0.0017835856573705181,0.0013580013641013864,0.10582149852431215,6416.471997839787,247.98306598410647
17,11888453.85041928,4742543.456168899,252.0,21229.0,84.2420634920635,68383.74696082121,333.63936732995114,0.0016848412698412698,0.0012725716494364214,0.10656084635840514,5971.1033316884195,248.8162823976489
18,318443.38379438885,99410.99526207033,244.0,22245.0,91.16803278688523,81650.98406006434,335.9944465524206,0.001823360655737705,0.0013241290282176982,0.11096517845822759,5966.4168823743275,240.4246263124553
19,800181.3020933198,278978.3900061075,245.0,21915.0,89.44897959183673,72261.88821324467,330.4217696885615,0.0017889795918367346,0.0013264864491619875,0.11659987019888057,5688.198652791994,241.62134999500137
20,31370734.50989413,13277364.274931472,255.0,22513.0,88.28627450980392,74698.06314494407,334.3062332568208,0.0017657254901960783,0.0013468489522721555,0.10809076917184118,6230.175631977204,251.93401712016072
21,40980483.352703184,17149769.578028146,247.0,22649.0,91.69635627530364,82495.86326607534,323.9150887747381,0.001833927125506073,0.0013984529146618982,0.1031410774951611,6779.3208517116145,244.09065876320838
22,7023314.426053463,2744634.740371032,244.0,22088.0,90.52459016393442,77145.50349368446,322.9272684396957,0.0018104918032786884,0.0013679860549853052,0.10859060428933828,6298.823291103179,240.95893106120218
23,9134912.141271032,3482836.16465816,252.0,22649.0,89.87698412698413,82316.50470836494,334.88724289413545,0.0017975396825396824,0.00135263438548836,0.10064971601024292,6719.514168081236,248.86687256855586
24,261530.7385836835,83313.58378545099,240.0,22951.0,95.62916666666666,83645.36664930558,328.64044694824446,0.0019125833333333332,0.0013967240011461164,0.1193709667382819,5850.3505471661365,236.514249516974
