,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,r,xi,xip
0,1184361.341857554,420256.01211184775,243.0,23068.0,785.4057819927659,5426825.025845676,293.70804912424836,0.0018986008230452674,0.001570811563985532,0.1136855396533998,0.9998552734281551,0.9985546169495556
1,917184.9630296988,321851.1825315748,247.0,21816.0,729.409534882856,4602451.989877962,299.0912369071742,0.0017664777327935223,0.0014588190697657117,0.11561719775344614,0.9998415171876889,0.9984174291693726
2,10906596.56677384,4566528.68409192,254.0,21977.0,714.7830704135572,4334857.749521865,307.46391331407176,0.0017304724409448818,0.0014295661408271142,0.11788139932267627,0.9998351080677348,0.998353524092692
3,2132787.5161518315,818806.2055243449,244.0,21679.0,736.1064882539058,4462476.181665494,294.50901935974036,0.001776967213114754,0.0014722129765078113,0.12144426903397612,0.9998350452846609,0.9983528981216033
4,124258.87818682716,34248.64166211299,249.0,22272.0,735.8750155929823,5051363.979818078,302.66009210888615,0.0017889156626506024,0.0014717500311859644,0.1072167713277216,0.9998543215221606,0.9985451227203742
5,1576811.7670355183,558945.0096614752,254.0,22103.0,715.789304338709,4701645.1408773,308.79198482045126,0.0017403937007874014,0.001431578608677418,0.10899000812132094,0.9998477576927031,0.9984796600675631
6,3336589.8358818344,1287892.9631642308,245.0,22491.0,759.3737725670602,4977058.3227458205,296.17825651219505,0.001836,0.0015187475451341203,0.11587899609240873,0.9998474251810359,0.9984763440541303
7,59330508.95633261,25325586.70658959,244.0,21460.0,721.7478142383388,5031816.331976076,297.3337719442456,0.0017590163934426228,0.0014434956284766778,0.10354007436030008,0.999856563163951,0.9985674809235451
8,52965919.42102863,23115770.76224152,248.0,22071.0,732.747810617242,4920413.258643858,301.20867889606023,0.0017799193548387097,0.0014654956212344838,0.1091370370051579,0.9998510800267986,0.9985127935407009
9,2109793.068411577,784049.1026372935,237.0,22129.0,772.3137468715499,5212732.122068148,286.5286302314189,0.0018674261603375526,0.0015446274937430998,0.11444227230119211,0.9998518408909597,0.9985203818797188
10,43770761.74806829,18421985.224937312,243.0,21900.0,740.3175099493287,5288901.206737252,295.8190196190139,0.0018024691358024692,0.0014806350198986575,0.10364094947528299,0.9998600243262237,0.9986020044305829
11,58831789.92920755,27595775.4516811,242.0,22303.0,765.6930017919981,4726323.048892067,291.27861881724044,0.0018432231404958677,0.0015313860035839962,0.12406701026757236,0.9998379939344241,0.9983822980420065
12,822564461.168589,402618575.80441046,239.0,21690.0,747.6972986262136,5134276.086794116,290.0906562034163,0.0018150627615062763,0.0014953945972524271,0.10890194968374947,0.9998543714272496,0.9985456204654398
13,15308660.228940524,6102080.495089062,244.0,22122.0,744.9228853703096,5355839.739376293,296.97033658729526,0.00181327868852459,0.001489845770740619,0.10362283473293345,0.9998609138955571,0.9986108778238996
14,77117924.56660858,34393309.02989665,240.0,22285.0,766.1130174205357,5337292.7546194885,290.883975252535,0.0018570833333333334,0.0015322260348410715,0.10998336462628382,0.9998564603718323,0.9985664556521273
15,4336129.642564414,1630115.3370155364,241.0,22530.0,770.266963561934,5555853.369303892,292.49599250388286,0.0018697095435684648,0.0015405339271238677,0.10680509800203752,0.9998613593785938,0.9986153215400775
16,28427125.97022376,11838809.676084109,251.0,22384.0,733.0809870645845,5078436.244900821,305.3414342340319,0.0017835856573705181,0.001466161974129169,0.10583677624458973,0.9998556482838983,0.998558355773346
17,11888453.85041928,4742543.456168899,252.0,21229.0,691.2040981766946,4483477.014900541,307.1307021471561,0.0016848412698412698,0.001382408196353389,0.10657727705503377,0.9998458330229241,0.9984604663364997
18,318443.38379438885,99410.99526207033,244.0,22245.0,752.0498040064978,5096904.41239746,295.7915803114524,0.001823360655737705,0.0015040996080129955,0.11098155382041722,0.9998524496943326,0.9985264537431316
19,800181.3020933198,278978.3900061075,245.0,21915.0,739.4504824676574,4689430.743696494,296.3687294768725,0.0017889795918367346,0.0014789009649353146,0.11661825908927288,0.9998423155127173,0.9984253897516606
20,31370734.50989413,13277364.274931472,255.0,22513.0,726.2942168433287,4880188.136893048,309.97080078439274,0.0017657254901960783,0.0014525884336866574,0.10810685817982504,0.9998511749554586,0.9985137402885961
21,40980483.352703184,17149769.578028146,247.0,22649.0,753.5554964722975,5505526.02371496,300.5618047513324,0.001833927125506073,0.001507110992944595,0.10315519661203781,0.9998631274299266,0.9986329582938713
22,7023314.426053463,2744634.740371032,244.0,22088.0,745.6282515692419,5119793.679910395,296.233410597222,0.0018104918032786884,0.0014912565031384838,0.10860642133610086,0.9998543636134216,0.9985455425315873
23,9134912.141271032,3482836.16465816,252.0,22649.0,737.0986002908356,5398071.331819924,307.2723240969855,0.0017975396825396824,0.001474197200581671,0.10066346145597319,0.9998634514894337,0.998636190929213
24,261530.7385836835,83313.58378545099,240.0,22951.0,793.7452314265526,5277929.044452837,289.1481937945188,0.0019125833333333332,0.001587490462853105,0.11938892158125006,0.9998496104769994,0.9984981375493919
25,1129501.9327889618,396794.1304721389,248.0,22423.0,746.1248355483,4955459.881834388,300.5261175031408,0.0018083064516129033,0.0014922496710966,0.11235810937324105,0.9998494337854932,0.9984963754104939
26,11395377.959655505,4609231.116109884,244.0,22566.0,762.9057547711949,5296571.3102453565,295.79013998613533,0.0018496721311475409,0.0015258115095423898,0.1099029923683564,0.9998559623367488,0.9985614881664355
27,177989322.92466375,82549739.49432956,247.0,22165.0,739.5782795831022,4953699.9555923175,299.69782255496114,0.0017947368421052632,0.0014791565591662046,0.11043416259426393,0.9998507018418126,0.9985090218207905
28,8350685.166070849,3218746.900806184,245.0,22163.0,743.2544422643775,5323533.700572877,298.1885978707217,0.0018092244897959186,0.001486508884528755,0.10378525541002957,0.9998603832559219,0.9986055847127195
29,86956953.68005341,40301325.2970648,247.0,22945.0,769.2851938910237,5052814.621097197,298.2638972153463,0.0018578947368421053,0.001538570387782047,0.11714061735238489,0.9998477511542421,0.9984795948617678
30,9639216.67357245,3848480.986690172,249.0,21591.0,713.2197075939536,4659592.71886557,302.72579080627526,0.0017342168674698794,0.001426439415187907,0.10918555661127134,0.9998469351828313,0.9984714575229864
31,23222249.7377045,10199716.805728976,243.0,21758.0,741.3006301082108,4601154.097361857,293.51114940808685,0.001790781893004115,0.0014826012602164214,0.11945159021147585,0.9998388881105866,0.9983912138570425
32,8808722.441849865,3583676.353002594,247.0,22323.0,746.5189407521855,4878188.5910589835,299.0279118371405,0.0018075303643724698,0.0014930378815043708,0.11425876938395672,0.9998469680032215,0.9984717848245928
33,370262972.4873918,168261720.52827275,239.0,22498.0,773.1966259473415,5967521.247771012,290.97385121714467,0.0018826778242677824,0.001546393251894683,0.10019411197723097,0.9998704325307202,0.9987058344430068
34,236317721.2752187,110149713.67074084,242.0,21878.0,744.743926000629,5090496.84470342,293.76540359970016,0.001808099173553719,0.001489487852001258,0.1089725991232683,0.9998536991675429,0.9985389154963418
35,8836088.14468053,3525028.0348145054,243.0,21801.0,739.2605746049167,4966045.689414143,294.90278190002385,0.001794320987654321,0.001478521149209833,0.11006494865875131,0.9998511369768143,0.998513361517633
36,2373869.509112482,847173.5265923212,247.0,22287.0,741.5466554389862,5264324.4558828175,300.5475088658633,0.0018046153846153845,0.0014830933108779725,0.10447093770077293,0.9998591373571949,0.9985931571164081
