,R,Smean,Ssd
0,14.0,74.41289509497958,
1,15.0,78.76623110822159,
2,16.0,82.87419623058064,
3,17.0,86.7613282451284,
4,18.0,90.44896068127166,
5,19.0,93.95568262200516,
6,20.0,97.29774282247863,
7,21.0,100.48939593030418,
8,22.0,103.5431953296796,
9,23.0,106.47023936865855,
10,24.0,109.28037797391568,
11,25.0,111.98238608495598,
12,26.0,114.5841094956099,
13,27.0,117.09258781962444,
14,28.0,119.51415850035538,
15,29.0,121.85454509548809,
16,30.0,124.1189324892893,
17,31.0,126.3120312073007,
18,32.0,128.43813261764916,
19,33.0,130.50115648495523,
20,34.0,132.50469208421612,
21,35.0,134.4520338718707,
22,36.0,136.3462125402541,
23,37.0,138.1900221422482,
24,38.0,139.9860438590254,
25,39.0,141.73666689040633,
26,40.0,143.44410687061801,
27,41.0,145.11042214891282,
28,42.0,146.73752822215425,
29,43.0,148.3272105629563,
30,44.0,149.88113605076316,
31,45.0,151.40086318294837,
32,46.0,152.88785121764644,
33,47.0,154.3434683786472,
34,48.0,155.76899923467406,
35,49.0,157.16565135009895,
36,50.0,158.53456129118933,
37,51.0,159.87680006096366,
38,52.0,161.19337802628544,
39,53.0,162.48524939278528,
40,54.0,163.7533162762519,
41,55.0,164.99843241317222,
42,56.0,166.22140654796567,
43,57.0,167.4230055299798,
44,58.0,168.6039571494727,
45,59.0,169.76495273843526,
46,60.0,170.9066495591835,
47,61.0,172.02967300109424,
48,62.0,173.1346186036225,
49,63.0,174.22205392177233,
50,64.0,175.29252024847742,
51,65.0,176.34653420681715,
52,66.0,177.38458922366905,
53,67.0,178.40715689520292,
54,68.0,179.4146882535826,
55,69.0,180.40761494330633,
56,70.0,181.38635031479689,
57,71.0,182.35129044210606,
58,72.0,183.30281507096345,
59,73.0,184.24128850278706,
60,74.0,185.16706041977955,
61,75.0,186.08046665574076,
62,76.0,186.98182991682464,
63,77.0,187.87146045607878,
64,78.0,188.74965670527558,
65,79.0,189.61670586723216,
66,80.0,190.4728844715422,
67,81.0,191.31845889639362,
68,82.0,192.15368585892514,
69,83.0,192.97881287636406,
70,84.0,193.79407870000747,
71,85.0,194.59971372394267,
72,86.0,195.39594037024585,
73,87.0,196.1829734522672,
74,88.0,196.96102051747403,
75,89.0,197.7302821712198,
76,90.0,198.49095238269499,
77,91.0,199.24321877422238,
78,92.0,199.98726289497208,
79,93.0,200.72326048009214,
80,94.0,201.45138169617562,
