,R,Smean,Ssd
0,14.0,66.97812579498627,
1,15.0,71.1904079580778,
2,16.0,75.18431400471236,
3,17.0,78.98051829421215,
4,18.0,82.59699634451495,
5,19.0,86.04945601298543,
6,20.0,89.35169032551076,
7,21.0,92.51586716074335,
8,22.0,95.55276809969705,
9,23.0,98.47198628870517,
10,24.0,101.28209115528146,
11,25.0,103.99076621146021,
12,26.0,106.60492490961384,
13,27.0,109.13080851575035,
14,28.0,111.57406917830227,
15,29.0,113.93984075028517,
16,30.0,116.23279943274974,
17,31.0,118.45721591905038,
18,32.0,120.6170004103324,
19,33.0,122.71574162556183,
20,34.0,124.75674073108748,
21,35.0,126.74304095478463,
22,36.0,128.6774535202918,
23,37.0,130.5625804314638,
24,38.0,132.4008345510403,
25,39.0,134.19445734688844,
26,40.0,135.94553462093222,
27,41.0,137.65601048773385,
28,42.0,139.327699829665,
29,43.0,140.96229942227362,
30,44.0,142.56139789552932,
31,45.0,144.12648467319605,
32,46.0,145.65895801284367,
33,47.0,147.16013225229383,
34,48.0,148.6312443541578,
35,49.0,150.0734598280633,
36,50.0,151.48787809988212,
37,51.0,152.8755373884887,
38,52.0,154.2374191430061,
39,53.0,155.57445208702228,
40,54.0,156.88751591062558,
41,55.0,158.17744464628078,
42,56.0,159.44502976035002,
43,57.0,160.69102298839798,
44,58.0,161.91613893926265,
45,59.0,163.12105749005823,
46,60.0,164.30642599186277,
47,61.0,165.4728613037097,
48,62.0,166.62095167060764,
49,63.0,167.7512584596886,
50,64.0,168.86431776709867,
51,65.0,169.9606419069812,
52,66.0,171.04072079274417,
53,67.0,172.10502321981213,
54,68.0,173.1539980581337,
55,69.0,174.18807536194697,
56,70.0,175.20766740358016,
57,71.0,176.21316963741535,
58,72.0,177.20496159958995,
59,73.0,178.1834077485035,
60,74.0,179.14885825071337,
61,75.0,180.10164971643326,
62,76.0,181.0421058884333,
63,77.0,181.97053828784348,
64,78.0,182.8872468200463,
65,79.0,183.79252034357702,
66,80.0,184.68663720469056,
67,81.0,185.56986574006675,
68,82.0,186.44246474988716,
69,83.0,187.30468394334116,
70,84.0,188.15676435849966,
71,85.0,188.9989387582472,
72,86.0,189.831432003945,
73,87.0,190.65446140826958,
74,88.0,191.46823706861377,
75,89.0,192.27296218232445,
76,90.0,193.06883334494506,
77,91.0,193.85604083253727,
78,92.0,194.6347688691154,
79,93.0,195.40519588009326,
80,94.0,196.16749473263695,
81,95.0,196.92183296370328,
82,96.0,197.6683729965375,
83,97.0,198.4072723462951,
84,98.0,199.1386838154579,
85,99.0,199.8627556796268,
86,100.0,200.57963186428134,
87,101.0,201.28945211298398,
88,102.0,201.9923521475728,
89,103.0,202.68846382074406,
90,104.0,203.3779152614952,
91,105.0,204.06083101379664,
92,106.0,204.73733216888888,
93,107.0,205.407536491527,
94,108.0,206.07155854052908,
95,109.0,206.72950978391492,
96,110.0,207.38149870893074,
97,111.0,208.02763092722287,
98,112.0,208.66800927542872,
99,113.0,209.30273391140602,
100,114.0,209.93190240633484,
101,115.0,210.5556098329006,
102,116.0,211.17394884975866,
103,117.0,211.78700978245618,
104,118.0,212.3948807009999,
105,119.0,212.9976474942373,
106,120.0,213.59539394118747,
107,121.0,214.18820177949138,
108,122.0,214.77615077111733,
109,123.0,215.35931876543467,
110,124.0,215.93778175979318,
111,125.0,216.51161395774267,
112,126.0,217.08088782497225,
113,127.0,217.64567414307584,
114,128.0,218.20604206129082,
115,129.0,218.76205914623156,
116,130.0,219.3137914297716,
117,131.0,219.86130345510796,
118,132.0,220.4046583211361,
119,133.0,220.94391772516053,
120,134.0,221.479142004065,
121,135.0,222.01039017395485,
122,136.0,222.53771996839777,
123,137.0,223.06118787526867,
124,138.0,223.58084917229658,
125,139.0,224.09675796133297,
126,140.0,224.60896720145308,
127,141.0,225.11752874086886,
128,142.0,225.6224933477373,
129,143.0,226.1239107399452,
130,144.0,226.62182961382808,
131,145.0,227.1162976719467,
132,146.0,227.6073616499042,
133,147.0,228.09506734230112,
134,148.0,228.5794596277813,
135,149.0,229.06058249327694,
136,150.0,229.53847905746852,
137,151.0,230.01319159343166,
138,152.0,230.48476155062366,
139,153.0,230.9532295760755,
140,154.0,231.41863553498465,
141,155.0,231.88101853060675,
142,156.0,232.34041692353185,
143,157.0,232.79686835033922,
144,158.0,233.25040974171935,
145,159.0,233.70107733996383,
146,160.0,234.14890671598187,
147,161.0,234.59393278574368,
148,162.0,235.03618982625392,
149,163.0,235.4757114910356,
150,164.0,235.9125308251498,
151,165.0,236.3466802797448,
152,166.0,236.7781917262195,
153,167.0,237.20709646989997,
154,168.0,237.6334252633901,
155,169.0,238.05720831947488,
156,170.0,238.47847532367527,
157,171.0,238.8972554464431,
158,172.0,239.31357735497585,
159,173.0,239.7274692247359,
160,174.0,240.13895875062155,
161,175.0,240.5480731578148,
162,176.0,240.95483921233162,
163,177.0,241.35928323130895,
164,178.0,241.7614310929348,
165,179.0,242.1613082461862,
166,180.0,242.55893972022193,
167,181.0,242.9543501336014,
168,182.0,243.34756370318098,
169,183.0,243.73860425278755,
170,184.0,244.12749522171535,
171,185.0,244.51425967290012,
172,186.0,244.89892030095837,
173,187.0,245.28149943996394,
174,188.0,245.66201907106358,
175,189.0,246.0405008298287,
176,190.0,246.41696601349454,
177,191.0,246.79143558794712,
178,192.0,247.1639301945636,
179,193.0,247.53447015687567,
180,194.0,247.90307548702864,
181,195.0,248.26976589215556,
182,196.0,248.6345607804894,
183,197.0,248.99747926740037,
184,198.0,249.3585401812413,
185,199.0,249.7177620690641,
186,200.0,250.07516320220017,
187,201.0,250.4307615816747,
188,202.0,250.784574943519,
189,203.0,251.13662076395377,
190,204.0,251.48691626440575,
191,205.0,251.83547841646168,
192,206.0,252.18232394665768,
193,207.0,252.52746934117081,
194,208.0,252.87093085041144,
195,209.0,253.21272449347657,
196,210.0,253.55286606251605,
197,211.0,253.89137112701627,
198,212.0,254.22825503795116,
199,213.0,254.56353293182926,
200,214.0,254.8972197347115,
201,215.0,255.22933016603784,
202,216.0,255.55987874246773,
203,217.0,255.8888797815564,
204,218.0,256.2163474053828,
205,219.0,256.54229554408397,
206,220.0,256.86673793934045,
207,221.0,257.1896881477288,
208,222.0,257.51115954402195,
209,223.0,257.8311653244607,
210,224.0,258.1497185098861,
211,225.0,258.4668319488408,
212,226.0,258.78251832057856,
213,227.0,259.0967901380549,
214,228.0,259.40965975078046,
215,229.0,259.7211393476959,
216,230.0,260.0312409598842,
217,231.0,260.33997646334706,
218,232.0,260.6473575816189,
219,233.0,260.95339588835026,
220,234.0,261.2581028098984,
221,235.0,261.561489627774,
222,236.0,261.86356748107306,
223,237.0,262.1643473689084,
224,238.0,262.4638401526892,
225,239.0,262.7620565584474,
226,240.0,263.05900717903194,
227,241.0,263.3547024763679,
228,242.0,263.6491527835404,
229,243.0,263.9423683069326,
230,244.0,264.23435912829353,
231,245.0,264.52513520672704,
232,246.0,264.8147063807001,
233,247.0,265.10308236996644,
234,248.0,265.39027277745566,
235,249.0,265.676287091184,
236,250.0,265.9611346860193,
237,251.0,266.24482482551383,
238,252.0,266.52736666363614,
239,253.0,266.8087692464973,
240,254.0,267.0890415140501,
241,255.0,267.36819230170744,
242,256.0,267.6462303420151,
243,257.0,267.9231642661905,
244,258.0,268.1990026057106,
245,259.0,268.4737537938556,
246,260.0,268.74742616717447,
247,261.0,269.02002796696513,
248,262.0,269.291567340742,
249,263.0,269.56205234362164,
