,k,S
0,1000,48.03
1,2000,54.42
2,3000,59.28
3,4000,61.54
4,5000,63.69
5,6000,65.9
6,7000,67.62
7,8000,68.77
8,9000,70.23
9,10000,71.58
10,11000,73.19
11,12000,73.47
12,13000,74.8
13,14000,75.39
14,15000,76.28
15,16000,77.12
16,17000,78.21
17,18000,78.34
18,19000,79.16
19,20000,79.67
20,21000,80.11
21,22000,80.77
22,23000,81.17
23,24000,82.81
24,25000,82.6
25,26000,83.3
26,27000,83.74
27,28000,84.42
28,29000,84.46
29,30000,84.78
30,31000,85.31
31,32000,85.38
32,33000,85.51
33,34000,87.08
34,35000,86.81
35,36000,87.36
36,37000,87.69
37,38000,88.38
38,39000,88.4
39,40000,88.68
40,41000,88.91
41,42000,89.13
42,43000,89.77
43,44000,90.26
44,45000,90.71
45,46000,90.6
46,47000,91.2
47,48000,91.16
48,49000,91.3
49,50000,91.09
50,51000,91.48
51,52000,92.41
52,53000,92.71
53,54000,93.08
54,55000,93.04
55,56000,92.86
56,57000,93.85
57,58000,93.64
58,59000,94.12
59,60000,93.72
60,61000,94.38
61,62000,95.02
62,63000,95.1
63,64000,95.05
64,65000,94.95
65,66000,95.28
66,67000,95.54
67,68000,95.95
68,69000,96.14
69,70000,96.29
70,71000,96.25
71,72000,97.02
72,73000,97.2
73,74000,96.78
74,75000,97.82
75,76000,97.73
76,77000,97.37
77,78000,98.18
78,79000,98.2
79,80000,98.49
80,81000,98.54
81,82000,98.87
82,83000,98.86
83,84000,99.11
84,85000,98.87
85,86000,99.27
86,87000,99.67
87,88000,99.6
88,89000,99.85
89,90000,99.97
90,91000,99.98
91,92000,100.71
92,93000,100.61
93,94000,100.69
94,95000,101.02
95,96000,100.94
96,97000,100.63
97,98000,101.22
98,99000,101.57
99,100000,101.69
100,101000,101.71
101,102000,101.85
102,103000,102.1
103,104000,101.99
104,105000,102.27
105,106000,101.88
106,107000,102.79
107,108000,102.66
108,109000,103.03
109,110000,103.07
110,111000,103.04
111,112000,103.51
112,113000,103.36
113,114000,103.71
114,115000,103.7
115,116000,103.97
116,117000,103.92
117,118000,103.87
118,119000,103.81
119,120000,104.15
120,121000,104.58
121,122000,104.52
122,123000,104.66
123,124000,105.18
124,125000,104.74
125,126000,104.86
126,127000,104.91
127,128000,105.34
128,129000,105.41
129,130000,105.64
130,131000,105.76
131,132000,105.7
132,133000,105.57
133,134000,105.99
134,135000,106.15
135,136000,106.44
136,137000,106.23
137,138000,106.54
138,139000,106.44
139,140000,106.53
140,141000,106.74
141,142000,106.9
142,143000,106.81
143,144000,106.93
144,145000,107.28
145,146000,107.2
146,147000,107.41
147,148000,107.56
148,149000,107.66
149,150000,107.65
150,151000,107.84
151,152000,107.87
152,153000,108
