,R,S
0,20.0,319.91
1,28.284271247461902,372.41
2,34.64101615137755,404.68
3,40.0,420.44
4,44.72135954999579,434.47
5,48.98979485566356,443.63
6,52.91502622129181,452.39
7,56.568542494923804,458.65
8,60.0,465.76
9,63.245553203367585,471.83
10,66.332495807108,476.86
11,69.2820323027551,482.74
12,72.11102550927978,485.69
13,74.83314773547882,489.24
14,77.45966692414834,493.11
15,80.0,496.9
16,82.4621125123532,498.64
17,84.8528137423857,502.14
18,87.17797887081348,504.45
19,89.44271909999158,508.19
20,91.6515138991168,510.44
21,93.8083151964686,512.67
22,95.91663046625439,515.13
23,97.97958971132712,516.87
24,100.0,520.69
25,101.9803902718557,521.02
26,103.92304845413264,523.17
27,105.83005244258362,524.59
28,107.70329614269008,525.83
29,109.54451150103323,528.02
30,111.35528725660043,529.55
31,113.13708498984761,531.07
32,114.89125293076059,531.87
33,116.61903789690601,533.98
34,118.32159566199232,535.16
35,120.0,536.61
36,121.6552506059644,538.21
37,123.28828005937953,540.26
38,124.89995996796797,540.71
39,126.49110640673517,542.12
40,128.06248474865697,543.0
41,129.6148139681572,544.37
42,131.14877048604,545.81
43,132.664991614216,547.28
44,134.16407864998737,548.22
45,135.26270735128733,549.0
