,rho,lambd,S,Nsum,Nmean,Nsd,S0,np,n,St,r,xi,xip
0,35345.538871149336,6530.215434742409,528.0,945647.0,296087.62008407473,748344866402.2572,649.2767830485004,0.04750770027462801,0.03863385600703026,540.6148436647131,0.11714908111138152,0.9999996043433538,0.9999195724609597
1,33790.99138357355,6236.856298715084,522.0,967363.0,307711.71453820553,790668770431.8506,639.0966129348745,0.04915728071973344,0.04015058133051892,534.2491547828918,0.11975499685202089,0.9999996108209581,0.9999208890994318
2,33467.937446549295,6223.294675418149,523.0,943734.0,300063.35239242937,739913593887.376,639.378043469624,0.04786486012233484,0.039152614168819856,535.2250180757029,0.12168725200712144,0.9999995944616306,0.9999175639076063
3,33902.939109296494,6244.617461329183,526.0,966746.0,304877.6995550359,779892766754.4309,644.6259710625782,0.04875234620225521,0.03978079576923659,538.3937657090507,0.11918362624289905,0.9999996090774109,0.99992053470553
4,31856.68980520228,5795.462227461047,531.0,950396.0,297299.27531710925,730441894636.3383,649.8779814244324,0.04747652896885278,0.0387919541868526,543.4691873344368,0.12100469007557374,0.999999592987098,0.9999172641956353
5,34623.090572499525,6494.42153159726,524.0,953089.0,302322.51070478,754752687830.4573,640.8908116569793,0.04824708192000999,0.03944739176509915,536.263236196378,0.12109786233710354,0.9999995994416243,0.9999185761372518
6,35617.53409168747,6670.098379838895,524.0,958825.0,303441.70671339397,773379358690.2031,642.3698521837246,0.048537448571910474,0.03959342575810486,536.3636309945906,0.11905787821413388,0.9999996076418342,0.9999202429099546
7,33815.853560671225,6258.916156672199,519.0,945018.0,302329.4199416643,760407670889.9366,635.4490628354117,0.0482993853599283,0.03944829329033965,531.1932321746135,0.12020277806525351,0.9999996024114017,0.999919179772865
8,35904.155793442726,6683.639244774031,529.0,962120.0,300970.5930314744,770798553944.4773,649.8696456314117,0.04824390480389865,0.03927099197942416,541.5826119493759,0.11751881574748,0.9999996095340455,0.9999206275211897
9,34570.9130620408,6353.749207550954,527.0,952452.0,299039.91157594806,760478290496.9165,647.4929082517331,0.04794036807645853,0.0390190744243198,539.545338685531,0.11759034412556914,0.999999606773901,0.999920066493798
10,34530.99491611362,6362.632966175703,528.0,959841.0,301040.8807642485,767324940020.0677,648.1789079207151,0.04822078274377143,0.039280163204301055,540.5266721078356,0.11810595840096907,0.9999996076748389,0.9999202496185028
11,35545.647080513605,6689.700039497855,529.0,953845.0,299235.0423159484,745787344766.4574,648.0170463887978,0.047828968712504374,0.039044535309545526,541.4583481005577,0.12006324202912912,0.9999995987662644,0.9999184388640111
12,34426.77238796445,6370.434249729688,530.0,967723.0,302761.14682415826,770045834765.8485,649.788461424733,0.04843330157035164,0.039504625514591045,542.5112495348195,0.1190375220899533,0.9999996068271093,0.9999200773089352
13,31729.110576082243,5735.797390301288,534.0,947159.0,294226.1593508534,720465837842.7456,654.4292185072397,0.0470490127165969,0.0383909704520395,546.6087219534896,0.12015707567609044,0.9999995916167792,0.9999169856662332
14,34374.016493774965,6399.860256737851,529.0,953380.0,299141.72662121465,744352949671.7206,647.9031846738218,0.0478056520620514,0.03903235936948928,541.4506466352213,0.12021959288007622,0.9999995981184373,0.9999183071870938
15,34953.301853627505,6461.399717251674,535.0,972274.0,300880.3850618301,767673841536.2722,656.9251209181538,0.04820629692826462,0.03925922153894126,547.7037319094316,0.1179264378939109,0.999999608062215,0.9999203283566287
16,35202.66431780349,6474.346382668835,537.0,958798.0,294943.4565803352,746024858614.302,660.8599412709689,0.04736109283880293,0.038484564226308665,549.8683551925524,0.11660694140084345,0.9999996046466104,0.9999196341008406
17,35042.432898851795,6448.995167880752,529.0,957571.0,299304.0262026874,765706262822.7399,650.3984531339436,0.04801580277613399,0.03905353640707984,541.6232465179083,0.11699386496804999,0.9999996091137806,0.9999205420980272
18,31949.01552243484,5681.837440691648,532.0,966409.0,300361.0812792757,771790657142.8414,654.0913115852841,0.048185704698776775,0.039191462179217214,544.69250587868,0.11689285614223649,0.9999996108257097,0.9999208900652194
19,34191.66206057738,6331.167773059191,524.0,959867.0,303979.242943664,772714402613.0021,641.9307879221875,0.04859019648880034,0.0396635641087489,536.3318053342927,0.11958288363572261,0.9999996066085453,0.9999200328836035
20,32300.85105449908,5915.382693478794,522.0,947826.0,301850.68245778396,751338873140.446,638.3480400593439,0.048164493324080064,0.03938582706830663,534.2108057794744,0.12126867697451231,0.9999995982496138,0.999918333849943
