,N,Smean,Ssd
0,0.0,19.920841969899467,
1,1.0,24.95517072593504,
2,2.0,29.267084186762595,
3,3.0,33.00107919720215,
4,4.0,36.39555528277301,
5,5.0,39.60134269315826,
6,6.0,42.62101811025276,
7,7.0,45.24750437740725,
8,8.0,46.93390709289405,
9,9.0,46.57933122907459,
10,10.0,42.390825133370534,
11,11.0,32.544397159572945,
12,12.0,17.968393294019364,
13,13.0,5.326505821916376,
14,14.0,0.5093576730923406,
15,15.0,0.00628265859686385,
16,16.0,1.5459918301460237e-06,
17,17.0,1.8059837840793904e-13,
18,18.0,0.0,
19,19.0,0.0,
20,20.0,0.0,
21,21.0,0.0,
