,N,Smean,Ssd
0,0.0,16.76083465079013,
1,1.0,21.002149997304898,
2,2.0,24.64417916023173,
3,3.0,27.81809130395788,
4,4.0,30.745149083897306,
5,5.0,33.59667233800149,
6,6.0,36.46910261263821,
7,7.0,39.384008085982536,
8,8.0,42.27042476927505,
9,9.0,44.905419400102446,
10,10.0,46.786002144225904,
11,11.0,46.916418153153934,
12,12.0,43.61686796963563,
13,13.0,34.92767610886762,
14,14.0,20.918607902327448,
15,15.0,7.216661374002316,
16,16.0,0.9066801929693218,
17,17.0,0.01844885696469607,
18,18.0,1.2053610116586743e-05,
