rho,lambd,S,Nsum,Nmean,Nsd
31951.081351713576,6309.555972816878,474.0,327414.0,690.746835443038,3694156.6785237403
32539.323881943004,6529.447542954514,478.0,311937.0,652.5878661087866,3340351.8949992117
27581.64481036021,5171.520277722924,476.0,309694.0,650.6176470588235,3407542.450444884
33613.0845035972,6808.612058061159,481.0,315935.0,656.8295218295218,3382609.812933036
34662.947197063426,6943.001641059596,469.0,320882.0,684.1833688699361,3783175.817122126
34133.0580543586,6719.4131176165665,471.0,309664.0,657.4607218683652,3759739.229348948
26404.743505780498,4852.482265443343,462.0,313280.0,678.0952380952381,3809478.497423211
29363.529424250177,5565.583913119277,475.0,320950.0,675.6842105263158,3772053.2097506924
32303.136036984055,6332.977816917322,476.0,322909.0,678.3802521008404,3714914.5843999367
31847.95874485002,6211.43477210684,470.0,307724.0,654.731914893617,3552281.7323856954
35677.80130547525,7419.782061740983,477.0,311434.0,652.901467505241,3269147.040605813
32784.134540384905,6490.976628638876,474.0,320549.0,676.2637130801688,3843880.936784526
32087.791689499245,6415.918695259263,469.0,319755.0,681.7803837953091,3668396.0136024114
33118.324457021874,6500.888263949035,481.0,321614.0,668.6361746361746,3736481.7948660315
29449.147448720094,5547.777253285654,466.0,320324.0,687.3905579399142,4013915.650039602
27477.10938829895,5029.815487542039,469.0,330014.0,703.6545842217485,4265579.066189007
27144.519377581142,5314.9824686127195,454.0,315777.0,695.5440528634361,3753954.6048875395
29842.087162998574,5971.980467909723,471.0,315768.0,670.4203821656051,3371977.810539982
27308.107842182257,5276.23911865105,457.0,317195.0,694.0809628008752,3682519.859965813
29483.049221752968,5869.453233885073,465.0,315633.0,678.7806451612903,3366334.7647866807
